condition_id,rule,D,percentile,removed_object_count,removed_pct_of_74464,baseline_TP_count,lost_TP_count,lost_ratio,mAP50,native_mAP,density_threshold_val,effective_cutoff,outer_pool_count,removed_pct_of_outer_pool,removed_id_hash,removed_id_hash_matches_frozen_design,dedup_points_removed,dedup_points_removed_pct_of_34548128,point_mask_hash,points_per_removed_object,provenance
D15_p80_density,density,15.0,80,2428,3.2606360120326605,10215,188,0.018404307391091532,0.38561702041430723,0.670977743390285,0.0011288812785388899,,12139,20.00164758217316,17eec75b08a91cdb1251a351e7177e342a7a8fa0169b31905fdc13eeee15ff0e,True,481574,1.3939221251003817,ae09a000b0c6069d643aafa36847f314b2120c9870cfad80093e2c3922aa4e6f,198.34184514003294,"controlled run, new in this extension"
D15_p80_distance_only_matched,distance_only_matched,15.0,80,2428,3.2606360120326605,10215,95,0.00930004894762604,0.3952000192116952,0.6724612461533301,,8.081551757303954,12139,20.00164758217316,fcbe6d9b2239e7b22ff65f6eaa58a2e8128ccc1cefc421fefc8adff9c8ae8303,True,661847,1.9157246378153976,9b26a26eb18938bd5466eb3784bb7c72aa9ceedcb45f40411760378b4b650f99,272.58937397034595,"controlled run, new in this extension"
D15_p90_density,density,15.0,90,1214,1.6303180060163303,10215,119,0.011649534997552618,0.38754368006403755,0.6724689862403028,0.0019632877332560845,,12139,10.00082379108658,530082a96aa42fcbb67535bdb3e0042f2ea637db8ca8dc31d2932c4fb7ad572e,True,348632,1.0091197994866754,844e9534a8be8087b3c0705438f2765cac2b2f14f8cf4063c7baa36dcacbf068,287.17627677100495,"controlled run, reused (not rerun)"
D15_p90_distance_only_matched,distance_only_matched,15.0,90,1214,1.6303180060163303,10215,49,0.004796867351933431,0.396547258736768,0.6727071167412513,,6.227285307780442,12139,10.00082379108658,93e4b8aef426dd428519b83672cdf6598fb79627f8e702c73e7f53c1e7fd9955,True,549815,1.5914465756292209,38fdd1a72841c58d63ac803e0cd657e01aa9a2582f77516711f9e53d347c9152,452.8953871499176,"controlled run, reused (not rerun)"
D20_p50_density,density,20.0,50,10379,13.93827889987108,10215,511,0.05002447381302007,0.3644142957675824,0.6651804032866148,0.00035662164805365203,,20757,50.00240882593824,9eebcab58cac497722cc8d3f3ab119b22d3bfee179271ab8cf76f7b1748f2630,True,664062,1.9221359837499734,3cb380716781c1dca6ad65f11c5000c8084e8227d7d0db16ce9ba9fdfb79d4a7,63.981308411214954,"controlled run, new in this extension"
D20_p50_distance_only_matched,distance_only_matched,20.0,50,10379,13.93827889987108,10215,309,0.0302496328928047,0.3678955762227989,0.6696131082254521,,13.896066782740304,20757,50.00240882593824,59f9efe07282f1d88f9bc4c02d434a2a5f9241927527854953596ad4f49fc506,True,909226,2.63176632898894,48dcdfa2e02d7c21a2f21f6360d0acd447954b5b56a4cc419d0f74a76a1e49a1,87.60246651893246,"controlled run, new in this extension"
D20_p70_density,density,20.0,70,6227,8.362430167597765,10215,395,0.03866862457170827,0.3724114082012468,0.6668052596290448,0.0007228491670444145,,20757,29.99951823481235,1400753099b5ad7f08d6e74abc217c4e1583c0102e8307cf3160e0f78a38a877,True,614901,1.7798388381564407,e8550f8896560bb3a469c8409124637c7d91a087726be89955bacf7972bd8ac3,98.7475509876345,"controlled run, new in this extension"
D20_p70_distance_only_matched,distance_only_matched,20.0,70,6227,8.362430167597765,10215,208,0.020362212432697015,0.37372367981189475,0.6714964970400301,,11.09272058490577,20757,29.99951823481235,08d58dbe0983d19399dd80740dd9e610dbd76ff27e8eec2f46208008e8f245f4,True,808583,2.340453873506547,5c2662e2671f5e9bceaf1662f71fbb76a19adf1aed9eeed301257877ab5438ce,129.85113216637225,"controlled run, new in this extension"
D20_p80_density,density,20.0,80,4152,5.575848732273314,10215,307,0.030053842388644152,0.3757971953806935,0.66947289873092,0.0010376469016850818,,20757,20.002890591125887,6df25d32457d0d0bc7c02c282e32fc4f1a6cd1d2c0ed3018ca8f8212e1e84333,True,555871,1.6089757453717897,377fe52a1e7971d6c24f40ef001f770e49bf7a0d5a2d41e5dbc51b35963b6406,133.88029865125242,"controlled run, new in this extension"
D20_p80_distance_only_matched,distance_only_matched,20.0,80,4152,5.575848732273314,10215,157,0.015369554576603035,0.37648206775704374,0.6722312300466774,,9.6579795102956,20757,20.002890591125887,70cde1b357618fc187c75ae02f87031787636d7343a8c9bd229193b6f65fc083,True,738927,2.1388336873129568,1494b1f755a89ead05ed3103f075d9b6d7865b31c8ff07838d5b18fc18c937e1,177.96893063583815,"controlled run, new in this extension"
D20_p90_density,density,20.0,90,2076,2.787924366136657,10215,192,0.018795888399412628,0.3861117456842349,0.6709377077789185,0.0017502247193317449,,20757,10.001445295562943,b4024c188896a6a3b238c5810cb302e64d01e117d11eceda881ef869b0a0d438,True,426108,1.2333750760677973,be16ee7fa3eb9d2b2d08f86fa628937e3e6a51e14b9589829475a97d650b7dd0,205.2543352601156,"controlled run, reused (not rerun)"
D20_p90_distance_only_matched,distance_only_matched,20.0,90,2076,2.787924366136657,10215,78,0.0076358296622613805,0.39514385945527447,0.6724813352348065,,7.649624742990773,20757,10.001445295562943,e8dfb5a21a7d76ac26e20c2d71c7d333949b72973d05fe93e6c8ae45800c5c0b,True,635324,1.8389534738322146,c6543525c1c1c0fdf54f1ce754b8f593a4bb45713e4b96b1ffa5db655c409b18,306.03275529865124,"controlled run, reused (not rerun)"
D22.5_p50_density,density,22.5,50,12878,17.29426299957026,10215,607,0.05942241801272638,0.3635124504341909,0.6629663264940711,0.0003369887458233722,,25755,50.00194137060765,fb79b3d7062bc2afb911887ad8faa540444bf2c1e01d68a802bffba21ec76ff7,True,692901,2.0056108394642975,6d5973666f985010c0259bb0b5b4032c326af6795aae7f5d3fdf4af7ea8cb1ef,53.80501630687995,"controlled run, new in this extension"
D22.5_p50_distance_only_matched,distance_only_matched,22.5,50,12878,17.29426299957026,10215,390,0.0381791483113069,0.37020343858069715,0.6674808224617538,,15.488900350989288,25755,50.00194137060765,27716c0d8736c71cf03c338024ed43cad6bf74ea0b292ac2df94c0541296eb09,True,959066,2.7760288487989855,8fc1aa5463fc1f6e6662a4946037a24edeace223f11f6ec1fbb10f7ab61401b7,74.47321012579593,"controlled run, new in this extension"
D22.5_p70_density,density,22.5,70,7727,10.376826385904598,10215,478,0.04679393049437102,0.37195084173030485,0.6649084176236744,0.0007011698211694155,,25755,30.00194137060765,b429d4488797ad4679909c39f6bfe74a9187d712c855b2565d94c1a77540934d,True,641919,1.8580427859940776,f274f88953a6b4a398be8d05ca93580bc050701dfaca02bb191f478362e69295,83.07480264009318,"controlled run, new in this extension"
D22.5_p70_distance_only_matched,distance_only_matched,22.5,70,7727,10.376826385904598,10215,239,0.02339696524718551,0.37602288082235963,0.6706931524466488,,12.1336703956104,25755,30.00194137060765,b44fe45841e4a32e66f10479f41c569876ebd03bb5b5ece9d50f2922e4fa8bff,True,848874,2.457076690233404,5f78f9daa1f8701a42b5b7c56117a2f5618b5ab6fb518238ed3f01ab80cbf8ee,109.85815969975411,"controlled run, new in this extension"
D22.5_p80_density,density,22.5,80,5151,6.917436613665664,10215,367,0.0359275575134606,0.37545540193962595,0.6679087363760831,0.0010092323197747686,,25755,20.0,ddfc85d47dad0f935508e61c76b66724fc3e8b073c0fd43c7d2f1f9f4392264f,True,584320,1.6913217410795747,357d667c18949c09773a456614fd7675cc3d6ad9051d4d5800cd16115730723e,113.43816734614639,"controlled run, new in this extension"
D22.5_p80_distance_only_matched,distance_only_matched,22.5,80,5151,6.917436613665664,10215,186,0.018208516886930984,0.37472152855455504,0.6720320518703772,,10.35071063610557,25755,20.0,6ce25bcb9a175858e681c6ea7aa180c860c87df2fefa1e2e86b99b2b7f22f44e,True,774739,2.2424919810416357,17abc0e442cf8bc1d1d3954a471e20bedbf1b854f451f19ce5df572c928d911a,150.40555231993787,"controlled run, new in this extension"
D22.5_p90_density,density,22.5,90,2576,3.459389772238934,10215,227,0.022222222222222223,0.38641792895528554,0.6694886398410068,0.0016791455354159873,,25755,10.00194137060765,bc31b1f8555e1579aee1d4c78259b2a629239c7919ccf5097f7313f7fecd5991,True,452484,1.3097207466639003,9df974558489d4d098288e3a7fe4eca16b8b3fb5acd3be5b1a30e6ff78d221b6,175.65372670807454,"controlled run, reused (not rerun)"
D22.5_p90_distance_only_matched,distance_only_matched,22.5,90,2576,3.459389772238934,10215,105,0.010279001468428781,0.38304185634855764,0.6726134075418974,,8.212785742356443,25755,10.00194137060765,278b9adc971f05f125de749aaed9002da830a59a0cf9696e1b5c8636b0d6ec4d,True,682319,1.9749811046201982,a64fabb0ea4348c464245bed3629955b5b09bf6a2a9dd860a7620acc265c3c17,264.8753881987578,"controlled run, reused (not rerun)"
D30_p50_density,density,30.0,50,21553,28.94418779544478,10215,877,0.08585413607440039,0.35441740076208256,0.6579887332971182,0.0003126142880697857,,43105,50.0011599582415,384409383b3f16dd2377af4c37634ca4abe8fc13a1649a204afaee492076c918,True,752856,2.1791513566234326,d22e9e9fba60c984d197a2426247406fe565b7d7bc07e20b3b5a41a50fb190cf,34.930450517329376,"controlled run, new in this extension"
D30_p50_distance_only_matched,distance_only_matched,30.0,50,21553,28.94418779544478,10215,598,0.058541360744003915,0.36724053750478686,0.6604990092159955,,20.402268845113255,43105,50.0011599582415,1c6f983052b84a27b9a3e7953c7fc9664ea98d3b03c96fbd2ca16cf5b5f37563,True,1040471,3.0116566663177813,b6552cb949cbe4132ffca08086e43a088cd1582e84077e29899b0e77b258bda0,48.274996520206,"controlled run, new in this extension"
D30_p70_density,density,30.0,70,12932,17.36678126342931,10215,692,0.06774351443954968,0.3642479971308554,0.6608231772735046,0.0006836178143181243,,43105,30.0011599582415,75b6092d112f714779403619ae39b75f53ee2627c27b61d9c89c58cf4738fe1b,True,693364,2.006950998907958,152e260a0f76c9b9b615c4ac207425d48df7babe376fb29bedad5e82ac0418ff,53.616145994432415,"controlled run, new in this extension"
D30_p70_distance_only_matched,distance_only_matched,30.0,70,12932,17.36678126342931,10215,391,0.038277043563387174,0.3735100766668482,0.6674476875084567,,15.528072497969708,43105,30.0011599582415,efe580ace74508e5c3d2a613b3d1e5ad58fc5c3312e6bff56498916b2618fed9,True,959972,2.778651277429561,ab7084076565040912116ce2ec238dbf970f55c0097d70c21aa6d5d26fad843b,74.23229198886483,"controlled run, new in this extension"
D30_p80_density,density,30.0,80,8621,11.57740653201547,10215,531,0.051982378854625554,0.3717520260141523,0.6643909142143617,0.0009893115763835432,,43105,20.0,1f2c649801831895a4e851b78c85bf016000e64e48000bbc903d3d2e5c2de345,True,632369,1.8304001883980514,24fd064cba897b9f97ac6f089b0d05ec80c2ad31146760b00d1589492fc66dee,73.3521633221204,"controlled run, new in this extension"
D30_p80_distance_only_matched,distance_only_matched,30.0,80,8621,11.57740653201547,10215,254,0.024865394028389623,0.3745355357187143,0.6703849807180624,,12.763036798261032,43105,20.0,55374e120f6a20a5de5e1a2cdb72628c27a7ee5d77a57012dba0f7177e972cc1,True,872861,2.526507369661245,502202be16ce2e06764b3546e31a2746e0b5269d41ecfd45b10863b398e7d943,101.2482310636817,"controlled run, new in this extension"
D30_p90_density,density,30.0,90,4311,5.7893747314138375,10215,315,0.030837004405286344,0.3841697837239964,0.6671534115883302,0.0016054522799466646,,43105,10.001159958241503,481c17715a76e57138418a7f44f4e093d1b3acb6aef178d874ff56649483f82a,True,500991,1.4501248808618517,a178eb09f637d3608621dd4dbd2a4e6bc26070de6e178a4ba669aa52c96ded3c,116.21224773834378,"controlled run, reused (not rerun)"
D30_p90_distance_only_matched,distance_only_matched,30.0,90,4311,5.7893747314138375,10215,157,0.015369554576603035,0.376810098616499,0.6721157803936277,,9.794551187418858,43105,10.001159958241503,cb6dd36aeb4039fe88fe5edebfbb5189bb0971806782f5da1e305a036386ce5f,True,744590,2.155225313510474,885b2f41b5388c6250ab113b0c10899aacc9ca590ddb1217cf7de872deca0b41,172.71862676873116,"controlled run, reused (not rerun)"
