condition_id,class_name,n_pred,n_GT,n_TP,AP50,recall,baseline_TP,n_lost,lost_ratio,small_denominator_flag
D30_p70_distance_only_matched,Car,16638,10721,6328,0.5225329772476934,0.5902434474396046,6476,165,0.02547869054972205,False
D30_p70_distance_only_matched,Pedestrian,52468,8008,3394,0.32494846574277014,0.4238261738261738,3488,202,0.05791284403669725,False
D30_p70_distance_only_matched,Cyclist,4570,712,234,0.273048787010081,0.32865168539325845,251,24,0.09561752988047809,False
D30_p80_density,Car,16614,10721,6232,0.5149792617701178,0.58128905885645,6476,268,0.04138357010500309,False
D30_p80_density,Pedestrian,52307,8008,3366,0.3082888265061277,0.42032967032967034,3488,249,0.07138761467889908,False
D30_p80_density,Cyclist,4628,712,251,0.2919879897662114,0.35252808988764045,251,14,0.055776892430278883,False
D30_p80_distance_only_matched,Car,16617,10721,6386,0.5265053478819492,0.595653390541927,6476,108,0.016676961087090797,False
D30_p80_distance_only_matched,Pedestrian,52747,8008,3431,0.3304997185978556,0.42844655344655347,3488,138,0.03956422018348624,False
D30_p80_distance_only_matched,Cyclist,4582,712,246,0.266601540676338,0.3455056179775281,251,8,0.03187250996015936,False
D30_p90_density,Car,16609,10721,6299,0.5191854077148117,0.5875384758884432,6476,199,0.03072884496602841,False
D30_p90_density,Pedestrian,52724,8008,3446,0.33659300320991503,0.4303196803196803,3488,113,0.03239678899082569,False
D30_p90_density,Cyclist,4601,712,262,0.29673094024726254,0.36797752808988765,251,3,0.01195219123505976,False
D30_p90_distance_only_matched,Car,16606,10721,6414,0.528155703710538,0.5982650872120138,6476,68,0.010500308832612723,False
D30_p90_distance_only_matched,Pedestrian,52938,8008,3456,0.3250751597699058,0.43156843156843155,3488,85,0.02436926605504587,False
D30_p90_distance_only_matched,Cyclist,4585,712,248,0.2771994323690533,0.34831460674157305,251,4,0.01593625498007968,False
