condition_id,method,T_dist_m,density_percentile,eligible_pool_count,distance_gated_pool_count,selected_box_count,selected_pct_of_eligible_pool,dedup_points_removed,dedup_points_removed_pct_of_holdout,lost_ratio,mAP50,native_mAP,baseline_TP_count,provenance_category
baseline_full_sensor,full_sensor_baseline,,,74464,,0,0.0,0,0.0,0.0,0.4049039684182132,0.673120629207898,10215,"controlled run, reused (not rerun)"
D10_distance_only,distance_only,10,,74464,4644,4644,6.236570691877954,759665,2.1988600945324737,0.017033773861967694,0.37546723527426984,0.672132859587818,10215,"controlled run, new in this extension"
D15_distance_only,distance_only,15,,74464,12139,12139,16.301837129351096,947760,2.7433034866606953,0.03563387175721978,0.3708482271540408,0.6681797604439598,10215,"controlled run, new in this extension"
D20_distance_only,distance_only,20,,74464,20757,20757,27.875214868929955,1034984,2.995774474379625,0.05697503671071953,0.3669579803167066,0.6629729473681908,10215,"controlled run, new in this extension"
D22.5_distance_only,distance_only,22.5,,74464,25755,25755,34.58718306832832,1063960,3.079645878352656,0.06813509544787077,0.3662510324860449,0.659849785881624,10215,"controlled run, new in this extension"
D30_distance_only,distance_only,30,,74464,43105,43105,57.88703266007735,1124731,3.2555483179870124,0.09720998531571219,0.3470398735549165,0.6549070984443447,10215,"controlled run, new in this extension"
D10_p80_density,distance_density,10,80,74464,4644,929,1.2475827245380318,325229,0.9413795155558067,0.008027410670582477,0.3878269774497023,0.6724978433698882,10215,"controlled run, new in this extension"
D15_p80_density,distance_density,15,80,74464,12139,2428,3.2606360120326605,481574,1.3939221251003817,0.018404307391091532,0.38561702041430723,0.670977743390285,10215,"controlled run, new in this extension"
D20_p80_density,distance_density,20,80,74464,20757,4152,5.575848732273314,555871,1.6089757453717897,0.030053842388644152,0.3757971953806935,0.66947289873092,10215,"controlled run, new in this extension"
D22.5_p80_density,distance_density,22.5,80,74464,25755,5151,6.917436613665664,584320,1.6913217410795747,0.0359275575134606,0.37545540193962595,0.6679087363760831,10215,"controlled run, new in this extension"
D30_p80_density,distance_density,30,80,74464,43105,8621,11.57740653201547,632369,1.8304001883980514,0.051982378854625554,0.3717520260141523,0.6643909142143617,10215,"controlled run, new in this extension"
D10_p90_density,distance_density,10,90,74464,4644,465,0.6244628276751182,182677,0.5287609215758377,0.0042094958394517865,0.40160430707385825,0.6729771199037281,10215,"controlled run, reused (not rerun)"
D15_p90_density,distance_density,15,90,74464,12139,1214,1.6303180060163303,348632,1.0091197994866754,0.011649534997552618,0.38754368006403755,0.6724689862403028,10215,"controlled run, reused (not rerun)"
D20_p90_density,distance_density,20,90,74464,20757,2076,2.787924366136657,426108,1.2333750760677973,0.018795888399412628,0.3861117456842349,0.6709377077789185,10215,"controlled run, reused (not rerun)"
D22.5_p90_density,distance_density,22.5,90,74464,25755,2576,3.459389772238934,452484,1.3097207466639003,0.022222222222222223,0.38641792895528554,0.6694886398410068,10215,"controlled run, reused (not rerun)"
D30_p90_density,distance_density,30,90,74464,43105,4311,5.7893747314138375,500991,1.4501248808618517,0.030837004405286344,0.3841697837239964,0.6671534115883302,10215,"controlled run, reused (not rerun)"
