section,distance_bin_m,n_rows,mean_pts,median_pts,pct_zero_pts,pct_supported,mean_rho_k,median_rho_k,quadrant,definition,count,pct_of_all,cat,cam,gate,type,threshold,n_selected,pct_of_eligible
P1_distance_bins,0-10,13125.0,280.9819428571429,96.0,1.3180952380952382,91.23809523809524,3.176474796320223,1.5156915274369471,,,,,,,,,,,
P1_distance_bins,10-20,33228.0,61.65276273022752,15.0,6.458408571084627,61.39099554592512,1.8551340192771482,1.0780010359542695,,,,,,,,,,,
P1_distance_bins,20-30,31473.0,16.32014742795412,5.0,13.227210624980144,32.354716741333846,1.4608881713076636,0.9099919001565678,,,,,,,,,,,
P1_distance_bins,30-40,25705.0,6.918109317253452,3.0,19.603190040848084,15.21882902159113,1.2450920316005265,0.7713068320816981,,,,,,,,,,,
P1_distance_bins,40-60,27761.0,3.820647671193401,1.0,30.276286877273872,9.077482799610966,1.1748969768171538,0.5845912731257639,,,,,,,,,,,
P1_distance_bins,60+,12273.0,2.15415953719547,1.0,39.21616556669111,4.758412776012385,1.2440454896301933,0.39339087893454994,,,,,,,,,,,
P1_quadrants,,,,,,,,,near_dense,d<=30m & pts>=10,42557.0,29.64,,,,,,,
P1_quadrants,,,,,,,,,near_sparse,d<=30m & pts<10,35269.0,24.57,,,,,,,
P1_quadrants,,,,,,,,,far_dense,d>30m & pts>=10,7016.0,4.89,,,,,,,
P1_quadrants,,,,,,,,,far_sparse,d>30m & pts<10,58723.0,40.9,,,,,,,
P2_by_category_near,,,426.9060665362035,200.0,1.1741682974559686,94.32485322896281,2.8423886403315803,2.2220108285897915,,,511.0,,trailer,,,,,,
P2_by_category_near,,,417.6474820143885,197.0,0.4796163069544364,98.56115107913669,3.712373236305413,2.244611587541406,,,417.0,,bus.rigid,,,,,,
P2_by_category_near,,,358.2372239747634,147.0,2.7444794952681386,93.02839116719242,3.6155402973890265,2.185726787961353,,,3170.0,,truck,,,,,,
P2_by_category_near,,,240.0085146641438,146.0,0.6622516556291391,96.68874172185431,2.0508172759463807,1.4095894695628064,,,1057.0,,construction,,,,,,
P2_by_category_near,,,122.39492003762935,31.0,6.241768579492004,75.33866415804327,2.3044248341847813,1.2454264092402518,,,21260.0,,car,,,,,,
P2_by_category_near,,,104.21575342465754,11.0,4.4520547945205475,54.794520547945204,1.77058865210335,1.1595241570014259,,,292.0,,debris,,,,,,
P2_by_category_near,,,89.64736842105263,37.0,1.5789473684210527,88.42105263157895,2.410305953373922,1.0851829312203298,,,190.0,,bicycle_rack,,,,,,
P2_by_category_near,,,72.05374582571987,16.0,7.107302627433684,62.70556360657804,2.728179439800536,1.731476065309656,,,15871.0,,barrier,,,,,,
P2_by_category_near,,,65.04033970276008,17.0,3.043170559094126,65.18046709129511,1.7404585814935305,1.0804732184377663,,,1413.0,,motorcycle,,,,,,
P2_by_category_near,,,43.148809523809526,11.0,7.142857142857142,54.36507936507936,1.9816052274798834,1.3225018275179596,,,504.0,,pushable_pullable,,,,,,
P2_by_category_near,,,24.572455752212388,7.0,10.619469026548673,41.482300884955755,1.1169998082252623,0.7871843408651104,,,1808.0,,ped.construction_worker,,,,,,
P2_by_category_near,,,18.702567278459632,6.0,9.345794392523365,36.31347821191307,1.0868971950764807,0.8271991064236719,,,17762.0,,ped.adult,,,,,,
P2_by_category_near,,,16.469941822882998,7.0,8.338720103425985,39.88364576599871,1.0544208191019893,0.6823861338480296,,,1547.0,,bicycle,,,,,,
P2_by_category_near,,,7.689946813148487,2.0,15.424186938704334,19.304211352341095,1.034429462161553,0.7165563574301137,,,11469.0,,trafficcone,,,,,,
P2_by_category_near,,,6.517241379310345,4.0,3.4482758620689653,19.82758620689655,1.148401745372472,0.798629903988153,,,116.0,,ped.child,,,,,,
P2_by_category_near,,,1.7524752475247525,1.0,29.7029702970297,1.4851485148514851,1.2114138447027125,1.0774233897160537,,,202.0,,animal,,,,,,
P2_by_camera_near,,,132.9431684649076,17.0,9.667770537335754,60.74137378485205,1.9671902910547725,0.995501539953408,,,9361.0,,,BACK_LEFT,,,,,
P2_by_camera_near,,,103.14430980425388,17.0,8.245063977629014,60.59655961359207,2.0439785912112063,0.9614546542054492,,,11801.0,,,BACK_RIGHT,,,,,
P2_by_camera_near,,,87.04761453994699,14.0,9.608102991291178,57.449829609996215,1.6307225882078122,0.8495920153028824,,,10564.0,,,FRONT_LEFT,,,,,
P2_by_camera_near,,,74.93137845042565,13.0,8.04884340871958,55.894745893885975,1.5895467958834877,0.8454050657932456,,,11629.0,,,FRONT_RIGHT,,,,,
P2_by_camera_near,,,59.19101068037975,10.0,8.311906645569621,50.53401898734177,2.4283931041232614,1.8117207251663021,,,20224.0,,,BACK,,,,,
P2_by_camera_near,,,56.18137151681056,9.0,6.82248894504106,48.64883835193374,1.5408635776947903,0.9364919163105323,,,14247.0,,,FRONT,,,,,
P3_density_gate,,,80.30902269164547,12.0,8.328836121604605,,,,,,,,,,distance_only,baseline,-,77826.0,100.0
P3_density_gate,,,145.68920412201578,35.0,0.0,,,,,,,,,,distance+density_p50,density_percentile,rho_k>=1.0645 (p50),38913.0,50.0
P3_density_gate,,,170.80848671741992,46.0,0.0,,,,,,,,,,distance+density_p60,density_percentile,rho_k>=1.3669 (p60),31131.0,40.000770950582066
P3_density_gate,,,199.86992461881104,55.0,0.0,,,,,,,,,,distance+density_p70,density_percentile,rho_k>=1.7403 (p70),23348.0,30.000256983527358
P3_density_gate,,,232.62597969934473,62.0,0.0,,,,,,,,,,distance+density_p80,density_percentile,rho_k>=2.2887 (p80),15566.0,20.001027934109423
P3_density_gate,,,277.5007066683798,79.0,0.0,,,,,,,,,,distance+density_p90,density_percentile,rho_k>=3.4179 (p90),7783.0,10.000513967054712
P3_density_gate,,,113.93129700972298,26.0,0.0,,,,,,,,,,distance+points>=5,raw_points_exploratory,n>=5,54510.0,70.0408603808496
P3_density_gate,,,144.04990953309678,41.0,0.0,,,,,,,,,,distance+points>=10,raw_points_exploratory,n>=10,42557.0,54.68223986842443
P3_density_gate,,,188.26449480642114,68.0,0.0,,,,,,,,,,distance+points>=20,raw_points_exploratory,n>=20,31770.0,40.82183332048416
P3_density_gate,,,227.4938574938575,100.0,0.0,,,,,,,,,,distance+points>=30,raw_points_exploratory,n>=30,25641.0,32.946573124662706
